"Collection Name","Highlight ID","Story Count","Status"
"Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿","18011241530716717:breakingcycles.life","32 stories","✅ Tested"
"England 🏴󠁧󠁢󠁥󠁮󠁧󠁿","18068925452490325:breakingcycles.life","35 stories","✅ Tested"
"Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿","18077415214744071:breakingcycles.life","9 stories","✅ Tested"
"Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿","18070600946491546:breakingcycles.life","9 stories","✅ Tested"
"Podcast","18062166557266367:breakingcycles.life","3 stories","✅ Tested"
"England 🏴󠁧󠁢󠁥󠁮󠁧󠁿","18070381891972059:breakingcycles.life","9 stories","✅ Tested"
"England 🏴󠁧󠁢󠁥󠁮󠁧󠁿","18089901049624656:breakingcycles.life","9 stories","✅ Tested"
"Build 2.0","18057215815963683:breakingcycles.life","9 stories","✅ Tested"
"England 🏴󠁧󠁢󠁥󠁮󠁧󠁿","18017304146710500:breakingcycles.life","9 stories","✅ Tested"
"Germany 🇩🇪 II","18500727481005649:breakingcycles.life","9 stories","✅ Tested"
"Germany 🇩🇪 I","17935663073901419:breakingcycles.life","9 stories","✅ Tested"
"Morocco 🇲🇦 VI","17973374066841093:breakingcycles.life","9 stories","✅ Tested"
"Morocco 🇲🇦 V","17932045244897253:breakingcycles.life","9 stories","✅ Tested"
"Souls pt. 2","17975341163805031:breakingcycles.life","9 stories","✅ Tested"
"Morocco 🇲🇦 IV","17949446570943474:breakingcycles.life","9 stories","✅ Tested"
"Morocco 🇲🇦 III","17908767675094414:breakingcycles.life","9 stories","✅ Tested"
"Morocco 🇲🇦 II","18077175703725858:breakingcycles.life","11 stories","✅ Tested"
"Thoughts","18030793766230793:breakingcycles.life","100 stories","✅ Tested"
"Morocco 🇲🇦 I","18079492300619829:breakingcycles.life","25 stories","✅ Tested"
"Italy 🇮🇹 III","18048676087963901:breakingcycles.life","18 stories","✅ Tested"
"Spain 🇪🇸 II","18035501075407752:breakingcycles.life","100 stories","✅ Tested"
"Spain 🇪🇸 I","18071829082750153:breakingcycles.life","22 stories","✅ Tested"
"France 🇫🇷","18038123462528317:breakingcycles.life","40 stories","✅ Tested"
"MFW2025 Vol II","17991384335769961:breakingcycles.life","99 stories","✅ Tested"
"MFW2025 Vol I","18347481994183019:breakingcycles.life","99 stories","✅ Tested"
"Italy 🇮🇹 II","18102396352485795:breakingcycles.life","100 stories","✅ Tested"
"Italy 🇮🇹 I","17889230265118966:breakingcycles.life","100 stories","✅ Tested"
"Souls pt. 1","17916693795030579:breakingcycles.life","70 stories","✅ Tested"
"Greece 🇬🇷 II","18044152921980963:breakingcycles.life","100 stories","✅ Tested"
"Greece 🇬🇷 I","17991220025742686:breakingcycles.life","79 stories","✅ Tested"
"Bulgaria 🇧🇬","18052837759821656:breakingcycles.life","100 stories","✅ Tested"
"Turkey 🇹🇷 3","17987636276756920:breakingcycles.life","100 stories","✅ Tested"
"Turkey 🇹🇷 2","18037664711047569:breakingcycles.life","100 stories","✅ Tested"
"Turkey 🇹🇷 1","18066993982649869:breakingcycles.life","74 stories","✅ Tested"
"Georgia 🇬🇪 3","17932289318951599:breakingcycles.life","9 stories","✅ Tested"
"Armenia 🇦🇲 3","18040879571160857:breakingcycles.life","100 stories","✅ Tested"
"Armenia 🇦🇲2","18044368168879405:breakingcycles.life","99 stories","✅ Tested"
"Armenia 🇦🇲 1","18137731558325083:breakingcycles.life","100 stories","✅ Tested"
"Georgia 🇬🇪 2","18011275097400978:breakingcycles.life","98 stories","✅ Tested"
"Georgia 🇬🇪 1","17858220288266313:breakingcycles.life","99 stories","✅ Tested"
"Tajikistan 🇹🇯","18040006774818828:breakingcycles.life","26 stories","✅ Tested"
"Russia 🇷🇺","17965710818773208:breakingcycles.life","22 stories","✅ Tested"
"Kazakhstan 🇰🇿 4","18103024393441878:breakingcycles.life","100 stories","✅ Tested"
"Kazakhstan 🇰🇿 3","18053779645660840:breakingcycles.life","25 stories","✅ Tested"
"Uzbekistan 🇺🇿 3","17952841943822134:breakingcycles.life","100 stories","✅ Tested"
"Uzbekistan 🇺🇿 2","18075540595554032:breakingcycles.life","100 stories","✅ Tested"
"Uzbekistan 🇺🇿 1","18122776447372808:breakingcycles.life","93 stories","✅ Tested"
"Kazakhstan 🇰🇿 2","18058314775659069:breakingcycles.life","98 stories","✅ Tested"
"Kazakhstan 🇰🇿 1","18008045279547582:breakingcycles.life","89 stories","✅ Tested"
"Kyrgyzstan 🇰🇬","18450623119021935:breakingcycles.life","1 stories","✅ Tested"
"Q&A","18447928921046336:breakingcycles.life","100 stories","✅ Tested"
"Mongolia 🇲🇳","17977584701709245:breakingcycles.life","74 stories","✅ Tested"
"MONGOLIA WINTER","17958474221619709:breakingcycles.life","100 stories","✅ Tested"
"日光","18202733329277692:breakingcycles.life","24 stories","✅ Tested"
"下関 - 津山 🚴 下集","18048074443469949:breakingcycles.life","100 stories","✅ Tested"
"下関 - 津山 🚴 中集","17847537087090006:breakingcycles.life","100 stories","✅ Tested"
"下関 - 津山 🚴 上集","17893662158920583:breakingcycles.life","44 stories","✅ Tested"
"INDONESIA","18001194349870466:breakingcycles.life","29 stories","✅ Tested"
"NEW DELHI","17909494379698894:breakingcycles.life","59 stories","✅ Tested"
"LADAKH 2","17984999519177523:breakingcycles.life","99 stories","✅ Tested"
"LADAKH 1","18064808941402631:breakingcycles.life","99 stories","✅ Tested"
